institution_id,institution_name,acronym,type,category,subcategory,School_Type,State,address,phone,url,subject_ba,subject_bc,subject_bi_muet,subject_bio,subject_bm,subject_bt,subject_che,subject_eko,subject_geo,subject_ict,subject_kmk,subject_l.eng,subject_mm,subject_mm/pp,subject_mt,subject_pa,subject_pakn,subject_phy,subject_pk,subject_pp,subject_sej,subject_ss,subject_sv,subject_sya,subject_tah,subject_usul
JEB0015,Sekolah Tinggi Batu Pahat,,IPTA,Kolej Tingkatan 6,STPM Campuran,Sekolah Tinggi,Johor,"Jalan Zaharah, 83000 Batu Pahat, Johor",07-4341097,,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0
JEB0016,SMK (P) Temenggong Ibrahim,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"35, Jalan Tasek, 83000 Batu Pahat, Johor",07-4342161,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA0019,SMK Datin Onn,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Kampung Kenangan Dato Onn, 83000 Batu Pahat, Johor",07-4343497,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
JEA0010,SMK Dato Bentara Luar,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"Jalan Lim Yew Leong, 83000 Batu Pahat, Johor",07-4341640,,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
JEA0020,SMK Dato Seth,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Jalan Yong Peng-Muar, 83700 Yong Peng, Johor",07-4671044,,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
JEA0015,SMK Dato Sulaiman,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Parit Sulong, 83500 Batu Pahat, Johor",07-4186214,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEA0016,SMK Dato' Onn,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Simpang Lima, 83020 Batu Pahat, Johor",07-4138453,,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEE0034,SMK Datuk Menteri,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Ayer Hitam, 86100 Batu Pahat, Johor",07-7581134,,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
JEB0018,SMK Munsyi Sulaiman,,IPTA,Kolej Tingkatan 6,STPM Campuran,SMK,Johor,"KM 6, Jalan Kluang, 83000 Batu Pahat, Johor",07-4341949,,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
JEE0020,SMK Semerah,,IPTA,Kolej Tingkatan 6,STPM Sastera,SMK,Johor,"Kampung Lubok, Semerah, 83600 Batu Pahat, Johor",07-4161014,,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
