institution_id,institution_name,acronym,type,category,subcategory,State,address,phone,url,latitude,longitude,DUN,Parliament,Indians,Indians %,Ave. Income
IKBN-001,IKTBN Dusun Tua,IKBNDT,IPTA,ILKBS,IKTBN,Selangor,"Km 25, Dusun Tua, 43100 Hulu Langat, Selangor",03-90217100,https://kemahiran.kbs.gov.my/iktbndusuntua.html,3.1461918,101.8387829,N23 Dusun Tua,P101 Hulu Langat,7976,7.4,10611
IKBN-002,IKTBN Sepang,IKBNS,IPTA,ILKBS,IKTBN,Selangor,"Bandar Baru Salak Tinggi, 43900 Sepang, Selangor",03-87061720,https://kemahiran.kbs.gov.my/iktbnsepang.html,2.8123434,101.7372806,N56 Sungai Pelek,P113 Sepang,8710,13.6,10895
IKBN-003,IKTBN Chembong,IKBNC,IPTA,ILKBS,IKTBN,Negeri Sembilan,"71300 Rembau, Negeri Sembilan",06-6857900,https://kemahiran.kbs.gov.my/iktbnchembong.html,2.5861196,102.0904135,N26 Chembong,P131 Rembau,2833,8.8,5771
IKBN-004,IKTBN Bukit Mertajam,IKBNBM,IPTA,ILKBS,IKTBN,Pulau Pinang,"Jalan Berapit,14000 Bukit Mertajam, Pulau Pinang",04-5225288   ,https://kemahiran.kbs.gov.my/iktbnbukitmertajam.html,5.3742966,100.4668989,N12 Penanti,P044 Permatang Pauh,378,1.2,6100
IKBN-005,IKTBN Alor Gajah,IKBNAG,IPTA,ILKBS,IKTBN,Melaka,"Km 34, Jalan Masjid Tanah, 78300 Masjid Tanah, Melaka",06-3851255,https://kemahiran.kbs.gov.my/iktbnalorgajah.html,2.3686056,102.0886808,N02 Tanjung Bidara,P134 Masjid Tanah,409,2,5812
IKBN-006,IKTBN Negara Pagoh,IKBNNP,IPTA,ILKBS,IKTBN,Johor,"Km 21, Jalan Panchor, 84500 Pagoh, Johor",06-9737836,https://kemahiran.kbs.gov.my/iktbnpagoh.html,2.134959999,102.7187691,N08 Bukit Pasir,P143 Pagoh,1908,3.7,6122
IKBN-007,IKTBN Temerloh,IKBNT,IPTA,ILKBS,IKTBN,Pahang,"Kampung Bongsu, 28500 Lanchang, Temerloh, Pahang",09-2805550,https://kemahiran.kbs.gov.my/iktbntemerloh.html,3.498147352,102.2279012,N31 Lanchang,P088 Temerloh,3635,9.8,4960
IKBN-008,IKTBN Bachok,IKBNB,IPTA,ILKBS,IKTBN,Kelantan,"Kampong Tangok, 16300 Bachok, Kelantan",09-7787700,https://kemahiran.kbs.gov.my/iktbnbachok.html,5.9907998,102.4078223,N21 Pantai Irama,P025 Bachok,110,0.2,4558
IKBN-009,IKSN Kuala Langat,IKBNKL,IPTA,ILKBS,IKSN,Selangor,"Jalan Sultan Abdul Samad, Kampung Sungai Raba, 42700 Banting, Selangor",03-31802128,https://kemahiran.kbs.gov.my/iksnkualalangat.html,2.820673212,101.471673,N53 Morib,P112 Kuala Langat,6148,12.2,8965
IKBN-010,IKBN Peretak,IKBNP,IPTA,ILKBS,IKBN,Selangor,"Jalan Ampang Pecah, 44000 Kuala Kubu Bharu, Selangor",03-60996000,https://kemahiran.kbs.gov.my/ikbnperetak.html,3.5457114,101.6584074,N06 Kuala Kubu Baharu,P094 Hulu Selangor,8439,18.2,7212
IKBN-011,IKBN Seri Iskandar,IKBNSI,IPTA,ILKBS,IKBN,Perak,"32600 Bota, Perak",05-3711101,https://kemahiran.kbs.gov.my/ikbnseriiskandar.html,4.348422,100.8828095,N40 Bota,P069 Parit,864,1.8,6650
