institution_id,institution_name,acronym,type,category,subcategory,state,address,phone,url,latitude,longitude,dun,parliament,indians,indians_%,ave_income
UNIV-001,Universiti Malaya,UM,IPTA,Universiti Awam,Penyelidikan,WP Kuala Lumpur,"Lembah Pantai, 50603 Kuala Lumpur, WP Kuala Lumpur",03-79677022,http://www.um.edu.my/,3.121847149,101.6569861,P121 Lembah Pantai,P121 Lembah Pantai,19051.0,13.8," RM13,081 "
UNIV-002,Universiti Sains Malaysia,USM,IPTA,Universiti Awam,Penyelidikan,Pulau Pinang,"11800 Minden, Pulau Pinang",04-6533888,http://www.usm.my/,5.355797221,100.3025455,N35 Batu Uban,P052 Bayan Baru,7900.0,10.3," RM9,430 "
UNIV-003,Universiti Kebangsaan Malaysia,UKM,IPTA,Universiti Awam,Penyelidikan,Selangor,"43600 Bangi, Selangor",03-89215555,http://www.ukm.my/,2.934719952,101.7803065,N26 Sungai Ramal,P102 Bangi,16327.0,6.6," RM11,127 "
UNIV-004,Universiti Putra Malaysia,UPM,IPTA,Universiti Awam,Penyelidikan,Selangor,"43400 Serdang, Selangor",03-89466000,http://www.upm.edu.my/,2.999658835,101.705609,N29 Seri Serdang,P103 Puchong,21395.0,9.4," RM9,589 "
UNIV-005,Universiti Teknologi Malaysia,UTM,IPTA,Universiti Awam,Penyelidikan,Johor,"81310 Skudai, Johor",07-5575960,http://www.utm.my/,1.55862897,103.6378276,N52 Senai,P163 Kulai,9823.0,10.7," RM7,772 "
UNIV-006,Universiti Islam Antarabangsa Malaysia,UIAM,IPTA,Universiti Awam,Komprehensif,Selangor,"Jalan Gombak, 53100 Gombak, Selangor",03-61964000,http://www.iiu.edu.my/,3.250464644,101.7345454,N17 Gombak Setia,P098 Gombak,11720.0,7.3," RM9,362 "
UNIV-007,Universiti Utara Malaysia,UUM,IPTA,Universiti Awam,Berfokus,Kedah,"06010 UUM Sintok, Kedah",04-9284000,http://www.uum.edu.my/,6.448658462,100.5097214,N05 Bukit Kayu Hitam,P006 Kubang Pasu,1887.0,2.6," RM5,710 "
UNIV-008,Universiti Malaysia Sarawak,UNIMAS,IPTA,Universiti Awam,Komprehensif,Sarawak,"Kota Samarahan, 93400 Kuching, Sarawak",082-581000,http://www.unimas.my/,1.465212149,110.4277018,N16 Muara Tuang,P197 Kota Samarahan,386.0,0.6," RM5,539 "
UNIV-009,Universiti Malaysia Sabah,UMS,IPTA,Universiti Awam,Komprehensif,Sabah,"Beg Berkunci 2073, 88899 Kota Kinabalu, Sabah",088-320000,http://www.ums.edu.my/,6.031006191,116.1166291,N16 Karambunai,P171 Sepanggar,655.0,0.5," RM6,874 "
UNIV-010,Universiti Pendidikan Sultan Idris,UPSI,IPTA,Universiti Awam,Berfokus,Perak,"Jalan Slim, 35900 Tanjung Malim, Perak",05-4596200,http://www.upsi.edu.my/,3.685600286,101.5248299,N59 Behrang,P077 Tanjong Malim,6033.0,9.0," RM5,587 "
UNIV-011,Universiti Sains Islam Malaysia,USIM,IPTA,Universiti Awam,Komprehensif,Negeri Sembilan,"Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan",06-7988000,http://www.usim.edu.my/,2.844348341,101.7818388,N10 Nilai,P128 Seremban,19086.0,18.0," RM7,644 "
