course_id,min_credits,req_malaysian,pass_bm,pass_history,pass_eng,pass_math,credit_math,credit_bm,credit_english,pass_stv,credit_stv,credit_sf,credit_sfmt,credit_bmbi,req_male,req_female,no_colorblind,no_disability,merit_cutoff
KKOM-DIP-001,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0
KKOM-DIP-002,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,74.52
KKOM-DIP-003,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.47
KKOM-DIP-004,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0
KKOM-DIP-005,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64.14
KKOM-DIP-006,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,67.5
KKOM-DIP-007,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,70.21
KKOM-DIP-008,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.06
KKOM-DIP-009,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0
KKOM-DIP-010,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0
KKOM-DIP-011,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45.48
KKOM-DIP-012,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,62.72
KKOM-DIP-013,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0
KKOM-DIP-014,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
KKOM-DIP-015,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,61.08
KKOM-DIP-016,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0
KKOM-CET-001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,71.74
KKOM-CET-002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,65.39
KKOM-CET-003,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.71
KKOM-CET-004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,49.37
KKOM-CET-005,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48.82
KKOM-CET-006,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,46.22
KKOM-CET-007,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,54.13
KKOM-CET-008,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,44.2
KKOM-CET-009,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57.35
KKOM-CET-010,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.21
KKOM-CET-011,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,49.52
KKOM-CET-012,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,46.95
KKOM-CET-013,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55.94
KKOM-CET-014,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.42
KKOM-CET-015,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.38
KKOM-CET-016,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.18
KKOM-CET-017,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40.1
KKOM-CET-018,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.24
KKOM-CET-019,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.91
KKOM-CET-020,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.95
KKOM-CET-021,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.7
KKOM-CET-022,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57.47
KKOM-CET-023,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.01
KKOM-CET-024,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.63
KKOM-CET-025,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41.62
KKOM-CET-026,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48.31
KKOM-CET-027,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46.05
KKOM-CET-028,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41.35
KKOM-CET-029,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.83
KKOM-CET-030,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45.26
KKOM-CET-031,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.34
KKOM-CET-032,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.01
KKOM-CET-033,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.09
KKOM-CET-034,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.54
KKOM-CET-035,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42.74
KKOM-CET-036,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.88
KKOM-CET-037,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.41
