no,kod_masco,tajuk_pekerjaan
1,11,"Ketua Eksekutif, Pegawai Kanan, Dan Penggubal Undang-Undang"
2,111,Penggubal Undang-Undang Dan Pegawai Kanan
3,1111,Penggubal Undang-Undang
4,1111-01,Perdana Menteri
5,1111-02,Timbalan Perdana Menteri
6,1111-03,Menteri
7,1111-04,Timbalan Menteri
8,1111-05,Ahli Parlimen
9,1111-06,Ketua Menteri
10,1111-07,Exco Negeri
11,1111-08,Ahli Dewan Undangan Negeri
12,1111-09,Timbalan Ketua Menteri
13,1111-10,Menteri Muda
14,1111-11,Menteri Besar
15,1111-12,Yang di-Pertua Dewan Negara
16,1111-13,Timbalan Yang di-Pertua Dewan Negara
17,1111-14,Ahli Dewan Negara
18,1111-15,Yang di-Pertua Dewan Rakyat
19,1111-16,Timbalan Yang di-Pertua Dewan Rakyat
20,1112,Pegawai Kanan Kerajaan
21,1112-01,Penyimpan Mohor Besar Raja-Raja
22,1112-02,Ketua Setiausaha Negara
23,1112-03,Ketua Pengarah Perkhidmatan Awam
24,1112-04,Peguam Negara
25,1112-05,Ketua Setiausaha Perbendaharaan
26,1112-06,Ketua Audit Negara
27,1112-07,Ketua Polis Negara
28,1112-08,Ketua Pengarah Kesihatan
29,1112-09,Panglima Angkatan Tentera
30,1112-10,Akauntan Negara
31,1112-11,Gabenor
32,1112-12,Ketua Pengarah Kastam
33,1112-13,Ketua Pengarah Bomba
34,1112-14,Ketua Setiausaha Kementerian
35,1112-15,Ketua Pengarah Jabatan Kerajaan
36,1112-16,"Pengurus Besar, Kerajaan Serantau"
37,1112-17,Ketua Jabatan Kerajaan
38,1112-18,Ketua Perangkawan
39,1112-19,Setiausaha Suruhanjaya
40,1112-20,Setiausaha Kerajaan Negeri
41,1112-21,Timbalan Setiausaha Kerajaan Negeri
42,1112-22,Ketua Pegawai Eksekutif Badan Berkanun
43,1112-26,Duta
44,1112-27,Konsul Besar
45,1112-28,Pesuruhjaya Tinggi Kerajaan
46,1112-29,Setiausaha Kedutaan
47,1112-30,Datuk Bandar
48,1112-31,Yang Dipertua Pihak Berkuasa Tempatan
49,1112-32,Setiausaha Dewan Negara
50,1112-33,Setiausaha Dewan Rakyat
51,1112-34,Pesuruhjaya Polis
52,1112-35,Ketua Pentadbir Parlimen
53,1112-36,Ketua Pegawai Eksekutif Pos Malaysia
54,1112-37,Timbalan Ketua Setiausaha Pentadbiran Kerajaan
55,1112-38,Ketua Bahagian/Seksyen/Unit
56,1112-39,Laksamana Madya Maritim
57,1112-40,Laksamana Muda Maritim
58,1112-41,Timbalan Ketua Polis Negara
59,1112-42,Timbalan Pesuruhjaya Polis
60,1112-43,Atase
