course_id,source_type,institution_id,No,hyperlink,duration,single,monthly_allowance,practical_allowance,free_hostel,free_meals,tuition_fee,registration_fee
POLY-DIP-001,poly,,,,,,,,,,,
POLY-DIP-002,poly,,,,,,,,,,,
POLY-DIP-003,poly,,,,,,,,,,,
POLY-DIP-004,poly,,,,,,,,,,,
POLY-DIP-005,poly,,,,,,,,,,,
POLY-DIP-006,poly,,,,,,,,,,,
POLY-DIP-007,poly,,,,,,,,,,,
POLY-DIP-008,poly,,,,,,,,,,,
POLY-DIP-009,poly,,,,,,,,,,,
POLY-DIP-010,poly,,,,,,,,,,,
POLY-DIP-011,poly,,,,,,,,,,,
POLY-DIP-012,poly,,,,,,,,,,,
POLY-DIP-013,poly,,,,,,,,,,,
POLY-DIP-014,poly,,,,,,,,,,,
POLY-DIP-015,poly,,,,,,,,,,,
POLY-DIP-016,poly,,,,,,,,,,,
POLY-DIP-017,poly,,,,,,,,,,,
POLY-DIP-018,poly,,,,,,,,,,,
POLY-DIP-019,poly,,,,,,,,,,,
POLY-DIP-020,poly,,,,,,,,,,,
POLY-DIP-021,poly,,,,,,,,,,,
POLY-DIP-022,poly,,,,,,,,,,,
POLY-DIP-023,poly,,,,,,,,,,,
POLY-DIP-024,poly,,,,,,,,,,,
POLY-DIP-025,poly,,,,,,,,,,,
POLY-DIP-026,poly,,,,,,,,,,,
POLY-DIP-027,poly,,,,,,,,,,,
POLY-DIP-028,poly,,,,,,,,,,,
POLY-DIP-029,poly,,,,,,,,,,,
POLY-DIP-030,poly,,,,,,,,,,,
POLY-DIP-031,poly,,,,,,,,,,,
POLY-DIP-032,poly,,,,,,,,,,,
POLY-DIP-033,poly,,,,,,,,,,,
POLY-DIP-034,poly,,,,,,,,,,,
POLY-DIP-035,poly,,,,,,,,,,,
POLY-DIP-036,poly,,,,,,,,,,,
POLY-DIP-037,poly,,,,,,,,,,,
POLY-DIP-038,poly,,,,,,,,,,,
POLY-DIP-039,poly,,,,,,,,,,,
POLY-DIP-040,poly,,,,,,,,,,,
POLY-DIP-041,poly,,,,,,,,,,,
POLY-DIP-042,poly,,,,,,,,,,,
POLY-DIP-043,poly,,,,,,,,,,,
POLY-DIP-044,poly,,,,,,,,,,,
POLY-DIP-045,poly,,,,,,,,,,,
POLY-DIP-046,poly,,,,,,,,,,,
POLY-DIP-047,poly,,,,,,,,,,,
POLY-DIP-048,poly,,,,,,,,,,,
POLY-DIP-049,poly,,,,,,,,,,,
POLY-DIP-050,poly,,,,,,,,,,,
POLY-DIP-051,poly,,,,,,,,,,,
POLY-DIP-052,poly,,,,,,,,,,,
POLY-DIP-053,poly,,,,,,,,,,,
POLY-DIP-054,poly,,,,,,,,,,,
POLY-DIP-055,poly,,,,,,,,,,,
POLY-DIP-056,poly,,,,,,,,,,,
POLY-DIP-057,poly,,,,,,,,,,,
POLY-DIP-058,poly,,,,,,,,,,,
POLY-DIP-059,poly,,,,,,,,,,,
POLY-DIP-060,poly,,,,,,,,,,,
POLY-DIP-061,poly,,,,,,,,,,,
POLY-DIP-062,poly,,,,,,,,,,,
POLY-DIP-063,poly,,,,,,,,,,,
POLY-DIP-064,poly,,,,,,,,,,,
POLY-DIP-065,poly,,,,,,,,,,,
POLY-DIP-066,poly,,,,,,,,,,,
POLY-DIP-067,poly,,,,,,,,,,,
POLY-DIP-068,poly,,,,,,,,,,,
POLY-DIP-069,poly,,,,,,,,,,,
POLY-DIP-070,poly,,,,,,,,,,,
POLY-DIP-071,poly,,,,,,,,,,,
POLY-DIP-072,poly,,,,,,,,,,,
POLY-DIP-073,poly,,,,,,,,,,,
POLY-DIP-074,poly,,,,,,,,,,,
POLY-DIP-075,poly,,,,,,,,,,,
POLY-DIP-076,poly,,,,,,,,,,,
POLY-DIP-077,poly,,,,,,,,,,,
POLY-DIP-078,poly,,,,,,,,,,,
POLY-DIP-079,poly,,,,,,,,,,,
POLY-DIP-080,poly,,,,,,,,,,,
POLY-DIP-081,poly,,,,,,,,,,,
POLY-DIP-082,poly,,,,,,,,,,,
POLY-CET-001,poly,,,,,,,,,,,
POLY-CET-002,poly,,,,,,,,,,,
POLY-CET-003,poly,,,,,,,,,,,
KKOM-DIP-001,poly,,,,,,,,,,,
KKOM-DIP-002,poly,,,,,,,,,,,
KKOM-DIP-003,poly,,,,,,,,,,,
KKOM-DIP-004,poly,,,,,,,,,,,
KKOM-DIP-005,poly,,,,,,,,,,,
KKOM-DIP-006,poly,,,,,,,,,,,
KKOM-DIP-007,poly,,,,,,,,,,,
KKOM-DIP-008,poly,,,,,,,,,,,
KKOM-DIP-009,poly,,,,,,,,,,,
KKOM-DIP-010,poly,,,,,,,,,,,
KKOM-DIP-011,poly,,,,,,,,,,,
KKOM-DIP-012,poly,,,,,,,,,,,
KKOM-DIP-013,poly,,,,,,,,,,,
KKOM-DIP-014,poly,,,,,,,,,,,
KKOM-DIP-015,poly,,,,,,,,,,,
KKOM-DIP-016,poly,,,,,,,,,,,
KKOM-CET-001,poly,,,,,,,,,,,
KKOM-CET-002,poly,,,,,,,,,,,
KKOM-CET-003,poly,,,,,,,,,,,
KKOM-CET-004,poly,,,,,,,,,,,
KKOM-CET-005,poly,,,,,,,,,,,
KKOM-CET-006,poly,,,,,,,,,,,
KKOM-CET-007,poly,,,,,,,,,,,
KKOM-CET-008,poly,,,,,,,,,,,
KKOM-CET-009,poly,,,,,,,,,,,
KKOM-CET-010,poly,,,,,,,,,,,
KKOM-CET-011,poly,,,,,,,,,,,
KKOM-CET-012,poly,,,,,,,,,,,
KKOM-CET-013,poly,,,,,,,,,,,
KKOM-CET-014,poly,,,,,,,,,,,
KKOM-CET-015,poly,,,,,,,,,,,
KKOM-CET-016,poly,,,,,,,,,,,
KKOM-CET-017,poly,,,,,,,,,,,
KKOM-CET-018,poly,,,,,,,,,,,
KKOM-CET-019,poly,,,,,,,,,,,
KKOM-CET-020,poly,,,,,,,,,,,
KKOM-CET-021,poly,,,,,,,,,,,
KKOM-CET-022,poly,,,,,,,,,,,
KKOM-CET-023,poly,,,,,,,,,,,
KKOM-CET-024,poly,,,,,,,,,,,
KKOM-CET-025,poly,,,,,,,,,,,
KKOM-CET-026,poly,,,,,,,,,,,
KKOM-CET-027,poly,,,,,,,,,,,
KKOM-CET-028,poly,,,,,,,,,,,
KKOM-CET-029,poly,,,,,,,,,,,
KKOM-CET-030,poly,,,,,,,,,,,
KKOM-CET-031,poly,,,,,,,,,,,
KKOM-CET-032,poly,,,,,,,,,,,
KKOM-CET-033,poly,,,,,,,,,,,
KKOM-CET-034,poly,,,,,,,,,,,
KKOM-CET-035,poly,,,,,,,,,,,
KKOM-CET-036,poly,,,,,,,,,,,
KKOM-CET-037,poly,,,,,,,,,,,
KKOM-CET-038,poly,,,,,,,,,,,
IKBN-DIP-001,tvet,IKBN-004,1.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35198,36 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-001,tvet,IKBN-005,2.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35199,36 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-001,tvet,IKBN-020,3.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35202,36 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-002,tvet,IKBN-012,4.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14258,36 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-003,tvet,IKBN-010,5.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35118,37 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-006,tvet,IKBN-001,6.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14603,34 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-007,tvet,IKBN-012,7.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=43815,34 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-001,tvet,IKBN-001,8.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14612,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-001,tvet,IKBN-003,9.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14375,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-001,tvet,IKBN-014,10.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14465,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-002,tvet,IKBN-003,11.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14399,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-002,tvet,IKBN-008,12.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14276,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-002,tvet,IKBN-014,13.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14477,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
