institution_id,institution_name,acronym,type,category,subcategory,State,address,phone,url,latitude,longitude,DUN,Parliament,Indians,Indians %,Ave. Income
POLY-001,Politeknik Ungku Omar,PUO,IPTA,Politeknik,Premier,Perak,"Jalan Raja Musa Mahadi, 31400 Ipoh, Perak",05-5457622,https://www.puo.edu.my,4.5950444,101.1200255,N25 Canning,P064 Ipoh Timor,4731.0,10.9,6989
POLY-002,Politeknik Sultan Haji Ahmad Shah,POLISAS,IPTA,Politeknik,Konvensional,Pahang,"Semambu, 25350 Kuantan, Pahang",09-5655300,https://polisas.mypolycc.edu.my,3.8518849,103.3350445,N13 Semambu,P082 Indera Mahkota,7777.0,6.1,8573
POLY-003,Politeknik Sultan Abdul Halim Muadzam Shah,POLIMAS,IPTA,Politeknik,Konvensional,Kedah,"Bandar Darulaman, 06000 Jitra, Kedah",04-9146100,https://polimas.mypolycc.edu.my,6.2436651,100.4203644,N06 Jitra,P006 Kubang Pasu,2963.0,3.2,7300
POLY-004,Politeknik Kota Bharu,PKB,IPTA,Politeknik,Konvensional,Kelantan,"Km 24, Pangkal Kalong, Kok Lanas, 16450 Ketereh, Kelantan",09-7889126,https://pkb.mypolycc.edu.my,5.9228182,102.233845,N25 Kok Lanas,P026 Ketereh,49.0,0.1,5621
POLY-005,Politeknik Kuching Sarawak,PKS,IPTA,Politeknik,Konvensional,Sarawak,"Km 22, Jalan Matang, 93050 Kuching, Sarawak",082-845596,https://www.poliku.edu.my,1.5626139,110.3154584,N06 Tupong,P194 Petra Jaya,453.0,0.5,7314
POLY-006,Politeknik Port Dickson,PPD,IPTA,Politeknik,Konvensional,Negeri Sembilan,"Km 14, Jalan Pantai, 71050 Si Rusa, Negeri Sembilan",06-6622111,https://polipd.mypolycc.edu.my,2.4946812,101.8402125,N31 Bagan Pinang,P132 Port Dickson,3491.0,10.5,5756
POLY-007,Politeknik Kota Kinabalu,PKK,IPTA,Politeknik,Konvensional,Sabah,"No. 4, Jalan Politeknik, Kkip Barat, Kota Kinabalu Industrial Park, 88460 Kota Kinabalu, Sabah",088-401816,https://polikk.mypolycc.edu.my,6.0978287,116.1641841,N16 Karambunai,P171 Sepanggar,655.0,0.5,6874
POLY-008,Politeknik Sultan Salahuddin Abdul Aziz Shah,PSA,IPTA,Politeknik,Premier,Selangor,"Persiaran Usahawan, Seksyen U1, 40150 Shah Alam, Selangor",03-51634000,https://psa.mypolycc.edu.my,3.0874945,101.5572496,N32 Seri Setia,P105 Petaling Jaya,24045.0,13.7,11456
POLY-009,Politeknik Ibrahim Sultan,PIS,IPTA,Politeknik,Premier,Johor,"Km 10, Jalan Kong Kong, 81700 Pasir Gudang, Johor",07-2612488,https://pis.mypolycc.edu.my,1.504382,103.9180171,N43 Permas,P159 Pasir Gudang,14331.0,7.6,7893
POLY-010,Politeknik Seberang Perai,PSP,IPTA,Politeknik,Konvensional,Pulau Pinang,"Jalan Permatang Pauh, 13500 Permatang Pauh, Pulau Pinang",04-5383322,http://www.psp.edu.my,5.3972599,100.4174595,N10 Seberang Jaya,P044 Permatang Pauh,6710.0,7.9,6822
POLY-011,Politeknik Melaka,PMK,IPTA,Politeknik,Konvensional,Melaka,"No. 2, Jalan Ppm 10, Plaza Pandan Malim, 75250 Balai Panjang, Melaka",06-3376058,https://polimelaka.mypolycc.edu.my,2.1680253,102.427251,N27 Merlimau,P139 Jasin,2212.0,8.9,7909
POLY-012,Politeknik Kuala Terengganu,PKT,IPTA,Politeknik,Konvensional,Terengganu,"Jalan Sultan Ismail, 20200 Kuala Terengganu, Terengganu",09-6322000,https://pkt.mypolycc.edu.my,5.3306553,103.134478,N14 Bandar,P036 Kuala Terengganu,109.0,0.7,5881
POLY-013,Politeknik Sultan Mizan Zainal Abidin,PSMZA,IPTA,Politeknik,Konvensional,Terengganu,"Km 8, Jalan Paka, 23000 Dungun, Terengganu",09-8400800,https://psmza.mypolycc.edu.my,4.6342369,103.4372229,N28 Paka,P039 Dungun,57.0,0.1,7452
POLY-014,Politeknik Merlimau,PMM,IPTA,Politeknik,Konvensional,Melaka,"Km 2.5, Jalan Merlimau-Jasin, 77300 Merlimau, Melaka",06-2636687,https://pmm.mypolycc.edu.my,2.1665148,102.4305876,N27 Merlimau,P139 Jasin,2212.0,8.9,7909
POLY-015,Politeknik Sultan Azlan Shah,PSAS,IPTA,Politeknik,Konvensional,Perak,"Behrang Stesen, 35950 Behrang, Perak",05-4544431,https://www.psas.edu.my,3.7469843,101.4554128,N59 Behrang,P077 Tanjong Malim,6033.0,9.0,5587
POLY-016,Politeknik Tuanku Sultanah Bahiyah,PTSB,IPTA,Politeknik,Konvensional,Kedah,"Kulim Hi-Tech Park, 09000 Kulim, Kedah",04-4033333,https://ptsb.mypolycc.edu.my,5.4312676,100.5708797,N33 Merbau Pulas,P017 Padang Serai,12727.0,13.7,5100
POLY-017,Politeknik Sultan Idris Shah,PSIS,IPTA,Politeknik,Konvensional,Selangor,"Sungai Lang, 45100 Sungai Air Tawar, Selangor",03-32806200,https://psis.mypolycc.edu.my,3.8187608,100.8208309,N01 Sungai Air Tawar,P092 Sabak Bernam,481.0,2.7,4315
POLY-018,Politeknik Tuanku Syed Sirajuddin,PTSS,IPTA,Politeknik,Konvensional,Perlis,"Pauh Putra, 02600 Arau, Perlis",04-9886200,https://ptss.mypolycc.edu.my,6.4476485,100.3394407,N11 Pauh,P003 Arau,1850.0,4.7,5805
POLY-019,Politeknik Muadzam Shah,PMS,IPTA,Politeknik,Konvensional,Pahang,"Lebuhraya Tun Abdul Razak, 26700 Muadzam Shah, Pahang",09-4502007,https://pms.mypolycc.edu.my,3.0924756,103.0839142,N41 Muadzam Shah,P091 Rompin,637.0,2.0,4460
POLY-020,Politeknik Mukah Sarawak,PMU,IPTA,Politeknik,Konvensional,Sarawak,"Km 7.5, Jalan Oya, 96400 Mukah, Sarawak",084-874001,https://pmu.mypolycc.edu.my,2.9007283,112.0800922,N57 Tellian,P213 Mukah,23.0,0.1,5687
POLY-021,Politeknik Balik Pulau,PBU,IPTA,Politeknik,Konvensional,Pulau Pinang,"Pinang Nirai Mukim 6, 11000 Balik Pulau, Pulau Pinang",04-8689000,https://heppbu.com,5.3457777,100.2159585,N39 Pulau Betong,P053 Balik Pulau,946.0,3.5,6665
POLY-022,Politeknik Jeli,PJK,IPTA,Politeknik,Konvensional,Kelantan,"Jalan Raya Timur - Barat, 17600 Jeli, Kelantan",09-9443625,https://www.pjk.edu.my,5.7100891,101.8130823,N37 Ayer Lanas,P030 Jeli,145.0,0.4,4105
POLY-023,Politeknik Nilai,PNS,IPTA,Politeknik,Konvensional,Negeri Sembilan,"Kompleks Pendidikan Bandar Enstek, 71760 Bandar Enstek, Negeri Sembilan",06-8505853,https://pns.mypolycc.edu.my,2.7199552,101.795986,N20 Labu,P130 Rasah,6299.0,11.3,8194
POLY-024,Politeknik Banting,PBS,IPTA,Politeknik,Konvensional,Selangor,"Persiaran Ilmu, Jln Sultan Abdul Samad, 42700 Banting, Selangor",03-31201657,https://pbs.mypolycc.edu.my,2.8252068,101.4657239,N53 Morib,P112 Kuala Langat,6148.0,12.2,8965
POLY-025,Politeknik Mersing,PMJ,IPTA,Politeknik,Konvensional,Johor,"Jalan Nitar, 86800 Mersing, Johor",07-7980001,https://pmj.mypolycc.edu.my,2.4122815,103.8022722,N33 Tenggaroh,P154 Mersing,629.0,1.5,5445
POLY-026,Politeknik Hulu Terengganu,PHT,IPTA,Politeknik,Konvensional,Terengganu,"Jalan Pengkalan Gawi Tasik Kenyir, Kuala Jeneris, 21700 Kuala Berang, Hulu Terengganu, Terengganu",09-6825555,https://pht.mypolycc.edu.my,5.191983162,102.8816169,N21 Telemung,P038 Hulu Terengganu,0.0,0.0,4916
POLY-027,Politeknik Sandakan,PSS,IPTA,Politeknik,Konvensional,Sabah,"Education Hub, Batu 10, Jalan Sungai Batang, 90000 Sandakan, Sabah",089-228351,https://pss.mypolycc.edu.my,5.9201455,118.0039258,N51 Sungai Manila,P184 Libaran,16.0,0.1,5223
POLY-028,Politeknik METrO Kuala Lumpur,PMKL,IPTA,Politeknik,METrO,WP Kuala Lumpur,"No. 2-14, Jalan Setiawangsa 10, Taman Setiawangsa, 54200 Kuala Lumpur, WP Kuala Lumpur",03-42514631,https://pmkl.mypolycc.edu.my,3.1780641,101.7420106,P118 Setiawangsa,P118 Setiawangsa,12015.0,8.5,12281
POLY-029,Politeknik METrO Kuantan,PMKU,IPTA,Politeknik,METrO,Pahang,"No. A-5, Jalan Tun Ismail 2, Sri Dagangan 2, 25000 Kuantan, Pahang",09-5659009,http://www.pmku.edu.my,3.817048028,103.3283073,N14 Teruntum,P083 Kuantan,1184.0,4.3,7634
POLY-030,Politeknik METrO Johor Bahru,PMJB,IPTA,Politeknik,METrO,Johor,"No. 64, Jalan Suria 19, Taman Putera, 81100 Johor Bahru, Johor",07-3358851,https://pmjb.mypolycc.edu.my,1.5049386,103.759927,N44 Larkin,P160 Johor Bahru,6585.0,7.1,10306
POLY-031,Politeknik METrO Betong,PMBS,IPTA,Politeknik,METrO,Sarawak,"1-12, Fasa 2, Bandar Baru Betong, Jalan Bandar Baru, 95700 Betong, Sarawak",083-472676,https://www.pmbs.edu.my,1.404045207,111.5360127,N36 Layar,P204 Betong,0.0,0.0,4851
POLY-032,Politeknik METrO Tasek Gelugor,PMTG,IPTA,Politeknik,METrO,Pulau Pinang,"No.25, Jalan Komersial 2, Pusat Komersial Tasek Gelugor, 13300 Tasek Gelugor, Pulau Pinang",04-5732789,https://www.pmtg.edu.my,5.4849892,100.4899893,N04 Permatang Berangan,P042 Tasek Gelugor,1512.0,4.0,6505
POLY-033,Politeknik Tun Syed Nasir Syed Ismail,PTSN,IPTA,Politeknik,Konvensional,Johor,"Hab Pendidikan Tinggi Pagoh, Km 1, Jln Panchor, 84600 Pagoh, Muar, Johor",06-9742288,https://ptsn.mypolycc.edu.my,2.154026098,102.734832,N08 Bukit Pasir,P143 Pagoh,1908.0,3.7,6122
POLY-034,Politeknik Besut,PBT,IPTA,Politeknik,Konvensional,Terengganu,"Jalan Bukit Keluang, 22200 Besut, Terengganu",011-56563550,https://bit.ly/pelajar-baharu-polibesut,5.8010024,102.5669137,N02 Kota Putera,P033 Besut,42.0,0.1,6357
POLY-035,Politeknik Bagan Datuk,PBD,IPTA,Politeknik,Konvensional,Perak,"Jalan Bagan Datuk, 36100 Bagan Datuk, Perak",05-6081630,https://pbd.mypolycc.edu.my,3.9883012,100.7866633,N53 Rungkup,P075 Bagan Datuk,1234.0,6.5,3606
POLY-036,Politeknik Tawau,PTS,IPTA,Politeknik,Konvensional,Sabah,"Km 36, Jalan Apas Balung, 91009 Tawau, Sabah",019-3261269,https://politawau.mypolycc.edu.my,4.3707832,118.0910351,N67 Balung,P190 Tawau,93.0,0.2,5756
KKOM-001,Kolej Komuniti Teluk Intan,KKTI,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"10-20 Persiaran Intanova, Taman Intanova, 36000 Teluk Intan, Perak",05-622 2134 / 106 / 019-386 5875,https://sites.google.com/kktin.edu.my/unit-ambilan-kkti/pelajar-baharu,4.012288369,101.0406257,N55 Pasir Bedamar,P076 Teluk Intan,4693.0,13.4,5234
KKOM-002,Kolej Komuniti Chenderoh,KKC,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Lot 43, Jalan Perindustrian Miel 2, Kawasan Perindustrian Iks, 33700 Kuala Kangsar, Perak",05-7733773 / 013-8046103,https://t.me/+d4h54EGVSOZjMmZl,4.7897218,100.8979542,N20 Lubok Merbau,P061 Padang Rengas,1337.0,6.4,8567
KKOM-003,Kolej Komuniti Gerik,KKGE,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Bukit Nasah, 33300 Gerik, Perak",017-6747479,https://kkgerik.mypolycc.edu.my/,5.3861635,101.0571733,N03 Kenering,P055 Lenggong,197.0,0.9,5039
KKOM-004,Kolej Komuniti Sungai Siput,KKSS,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Kampung Sungai Sejuk, Peti Surat 390, 31100 Sungai Siput (U), Perak",05-5971440 / 012-5771433,https://kksungaisiput.mypolycc.edu.my/v1,4.8516014,101.0509399,N21 Lintang,P062 Sungai Siput,4427.0,11.9,4412
KKOM-005,Kolej Komuniti Pasir Salak,KKPS,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Jalan Lebuh Paduka, Changkat Lada, 36800 Kampung Gajah, Perak",05-6552300 / 011-13122249,kkpasirsalak.mypolycc.edu.my,4.1461237,100.9020195,N50 Kampong Gajah,P073 Pasir Salak,312.0,0.8,3641
KKOM-006,Kolej Komuniti Batu Gajah,KKBG,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"11338-11359 Jalan Bandar Baharu 2, Pusat Bandar Baru, 31000 Batu Gajah, Perak",05-3651966 / 018-9144679,https://kkbatugajah.mypolycc.edu.my,4.47391816,101.0489063,N44 Sungai Rapat,P071 Gopeng,6771.0,9.4,4795
KKOM-007,Kolej Komuniti Taiping,KKTA,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"No. 25, Laluan Kamunting 3, Bandar Kamunting, 34600 Kamunting, Perak",05-8911884 / 05-8911867 / 014-5121800,https://kktaiping.mypolycc.edu.my/index.php/muat-turun/buku-panduan,4.892334581,100.7348409,N16 Kamunting,P060 Taiping,4919.0,12.7,6434
KKOM-008,Kolej Komuniti Bagan Datuk,KKBDA,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"No. 40-51, Lorong Lagenda 2, Medaniaga Lagenda, 36400 Hutan Melintang, Perak",05-6413694 /3695 / 011-29524191,http://tiny.cc/DokumenPendaftaranDis2025,3.8857413,100.9337944,N54 Hutan Melintang,P075 Bagan Datuk,15338.0,30.5,5996
KKOM-009,Kolej Komuniti Bagan Serai,KKBS,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"No. 29, Jalan Syed Thauphy 2, 34300 Bagan Serai, Perak",05-7210020 / 011-5652 4292,https://kkbaganserai.mypolycc.edu.my/,5.009997432,100.5418892,N11 Gunong Semanggol,P058 Bagan Serai,803.0,2.7,5474
KKOM-010,Kolej Komuniti Manjung,KKMA,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Lot 31, Persiaran PM 2/2, Pusat Bandar Seri Manjung, Seksyen 2, 32040 Manjung, Perak",05-6884526 / 013-4887704,https://kkmanjung.mypolycc.edu.my/,4.2061779,100.6737626,N38 Astaka,P068 Beruas,7295.0,15.4,7441
KKOM-011,Kolej Komuniti Kuala Kangsar,KKKK,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"No. 60-62, Bangunan MPKK, Jalan Dato Maharaja Lela, 33000 Kuala Kangsar, Perak",016-9162819 / 05-7773770,https://kkkualakangsar.mypolycc.edu.my/v2/,4.7737322,100.9429786,N34 Bukit Chandan,P067 Kuala Kangsar,835.0,3.2,5651
KKOM-012,Kolej Komuniti Tapah,KKTAP,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Lot 9396, Wisma Chan Poh Lim, 35000 Tapah, Perak",05-4010072 / 011-17469694,https://kktapah.edu.my/portalv2/,4.1932343,101.2637354,N47 Chenderiang,P072 Tapah,4689.0,14.0,6231
KKOM-013,Kolej Komuniti Gopeng,KKG,IPTA,Kolej Komuniti,Kolej Komuniti,Perak,"Peti Surat 11, Kompleks RTC Perak, Km 16, Jalan Gopeng, Kawasan Perindustrian Gopeng 2, 31600 Gopeng, Perak",05-3571737 / 011-63486228,https://kkgopeng.mypolycc.edu.my/,4.493988617,101.1514801,N46 Teja,P071 Gopeng,3638.0,9.4,4865
KKOM-014,Kolej Komuniti Sabak Bernam,KKSB,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Jalan Raja Chulan, 45200 Sabak Bernam, Selangor",03-3216 3235,https://kksabakbernam.mypolycc.edu.my,3.7678915,100.9822345,N02 Sabak,P092 Sabak Bernam,1696.0,5.8,4548
KKOM-015,Kolej Komuniti Kuala Langat,KKKLA,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Jalan Sultan Suleiman Shah, Jugra, 42700 Banting, Selangor",03-31202030 / 019-3704733,https://kkkualalangat.mypolycc.edu.my,2.8242545,101.4476109,N53 Morib,P112 Kuala Langat,6148.0,12.2,8965
KKOM-016,Kolej Komuniti Hulu Selangor,KKHS,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"No. 43-57, Jalan Kelah 2, Taman Perniagaan Kelah, 44300 Batang Kali, Selangor",03-60571717 / 011-13105176,https://kkhuluselangor.mypolycc.edu.my/,3.450059015,101.6644948,N07 Batang Kali,P094 Hulu Selangor,16526.0,11.0,7965
KKOM-017,Kolej Komuniti Hulu Langat,KKHL,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Jalan Prima Saujana 2/G, Taman Prima Saujana, 43000 Kajang, Selangor",03-87370037 / 012-6361549,http://kkhululangat.mypolycc.edu.my/,3.0097326,101.8030849,N24 Semenyih,P101 Hulu Langat,19868.0,8.8,10097
KKOM-018,Kolej Komuniti Selayang,KKSE,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Persiaran Pegawai, Km 16, Jalan Ipoh, 68100 Batu Caves, Selangor",03-61368200 / 013-7478773,https://kkselayang.mypolycc.edu.my/,3.2648129,101.6530162,N15 Taman Templer,P097 Selayang,12676.0,11.9,9918
KKOM-019,Kolej Komuniti Ampang,KKAM,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Lot Pt 3890, 25 & 27, Jalan Bukit Indah 4, Taman Bukit Indah, 68000 Ampang, Selangor",017-8218081,https://kkampang.mypolycc.edu.my/,3.152915058,101.7754649,N20 Lembah Jaya,P099 Ampang,5572.0,7.4,13574
KKOM-020,Kolej Komuniti Kelana Jaya,KKKJ,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"No. 2, Jalan PJS 5/28b, Petaling Jaya Commercial City, 46150 Petaling Jaya, Selangor",03-77720259 / 011-67098604,https://kkkelanajaya.mypolycc.edu.my/,3.076808,101.6238407,N32 Seri Setia,P105 Petaling Jaya,24045.0,13.7,11456
KKOM-021,Kolej Komuniti Tanjung Karang,KKTK,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Jalan PB 1, Pusat Bandar Tanjong Karang, 45500 Tanjong Karang, Selangor",012-2611354,https://kktanjongkarang.mypolycc.edu.my/ atau https://maslinadoraji.com/kktk,3.4257473,101.1771884,N08 Sungai Burong,P095 Tanjong Karang,427.0,1.7,5334
KKOM-022,Kolej Komuniti Klang,KKKLAN,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"No. 2680, Persiaran Tengku Ampuan Rahimah, Taman Lipat Kajang, 41200 Klang, Selangor",03-33732030 / 011-13007697,https://kkklang.mypolycc.edu.my/,3.0273241,101.442115,N47 Pandamaran,P110 Klang,20633.0,26.4,11820
KKOM-023,Kolej Komuniti Shah Alam,KKSA,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"D/A Politeknik Sultan Salahuddin Abdul Aziz Shah, Persiaran Usahawan, Sejsyen U1, 40150 Shah Alam, Selangor",03-55618400,https://kkshahalam.mypolycc.edu.my,3.084680067,101.5568947,N32 Seri Setia,P105 Petaling Jaya,24045.0,13.7,11456
KKOM-024,Kolej Komuniti Kuala Langat Cawangan Sepang,KKKLCS,IPTA,Kolej Komuniti,Kolej Komuniti,Selangor,"Wisma Aziz Dan Rahmah, Jalan Warisan Putra 1, Taman Warisan Putra, 43800 Dengkil, Selangor",03-87501788,https://kksepang.mypolycc.edu.my/,2.885514301,101.727569,N55 Dengkil,P113 Sepang,20677.0,8.2,12381
