course_id,merit_cutoff,type
POLY-DIP-001,64.14,POLY_KK
POLY-DIP-002,72.8,POLY_KK
POLY-DIP-003,58.82,POLY_KK
POLY-DIP-004,65.26,POLY_KK
POLY-DIP-005,59.09,POLY_KK
POLY-DIP-006,63.12,POLY_KK
POLY-DIP-007,69.42,POLY_KK
POLY-DIP-008,70.72,POLY_KK
POLY-DIP-009,56.73,POLY_KK
POLY-DIP-010,53.61,POLY_KK
POLY-DIP-011,57.01,POLY_KK
POLY-DIP-012,58.88,POLY_KK
POLY-DIP-013,66.18,POLY_KK
POLY-DIP-014,52.13,POLY_KK
POLY-DIP-015,58.12,POLY_KK
POLY-DIP-016,51.83,POLY_KK
POLY-DIP-017,66.25,POLY_KK
POLY-DIP-018,73.62,POLY_KK
POLY-DIP-019,72.26,POLY_KK
POLY-DIP-020,56.54,POLY_KK
POLY-DIP-021,54.86,POLY_KK
POLY-DIP-022,52.3,POLY_KK
POLY-DIP-023,54.66,POLY_KK
POLY-DIP-024,53.44,POLY_KK
POLY-DIP-025,48.87,POLY_KK
POLY-DIP-026,52.21,POLY_KK
POLY-DIP-027,55.13,POLY_KK
POLY-DIP-028,65.21,POLY_KK
POLY-DIP-029,53.63,POLY_KK
POLY-DIP-030,59.84,POLY_KK
POLY-DIP-031,58.08,POLY_KK
POLY-DIP-032,64.53,POLY_KK
POLY-DIP-033,76.65,POLY_KK
POLY-DIP-034,63.73,POLY_KK
POLY-DIP-035,52.26,POLY_KK
POLY-DIP-036,63.16,POLY_KK
POLY-DIP-037,79.44,POLY_KK
POLY-DIP-038,74.77,POLY_KK
POLY-DIP-039,65.23,POLY_KK
POLY-DIP-040,55.75,POLY_KK
POLY-DIP-041,68.2,POLY_KK
POLY-DIP-042,70.44,POLY_KK
POLY-DIP-043,56.79,POLY_KK
POLY-DIP-044,63.52,POLY_KK
POLY-DIP-045,66.15,POLY_KK
POLY-DIP-046,59.48,POLY_KK
POLY-DIP-047,55.86,POLY_KK
POLY-DIP-048,53.0,POLY_KK
POLY-DIP-049,78.08,POLY_KK
POLY-DIP-050,61.65,POLY_KK
POLY-DIP-051,64.73,POLY_KK
POLY-DIP-052,74.83,POLY_KK
POLY-DIP-053,54.32,POLY_KK
POLY-DIP-054,57.54,POLY_KK
POLY-DIP-055,58.15,POLY_KK
POLY-DIP-056,61.5,POLY_KK
POLY-DIP-057,70.12,POLY_KK
POLY-DIP-058,73.9,POLY_KK
POLY-DIP-059,59.65,POLY_KK
POLY-DIP-060,69.02,POLY_KK
POLY-DIP-061,53.11,POLY_KK
POLY-DIP-062,52.42,POLY_KK
POLY-DIP-063,63.59,POLY_KK
POLY-DIP-064,61.3,POLY_KK
POLY-DIP-065,62.41,POLY_KK
POLY-DIP-066,63.66,POLY_KK
POLY-DIP-067,77.01,POLY_KK
POLY-DIP-068,65.66,POLY_KK
POLY-DIP-069,71.9,POLY_KK
POLY-DIP-070,71.85,POLY_KK
POLY-DIP-071,70.18,POLY_KK
POLY-DIP-072,59.93,POLY_KK
POLY-DIP-073,59.93,POLY_KK
POLY-DIP-074,59.93,POLY_KK
POLY-DIP-075,59.93,POLY_KK
POLY-DIP-076,59.93,POLY_KK
POLY-DIP-077,59.93,POLY_KK
POLY-DIP-078,67.01,POLY_KK
POLY-DIP-079,58.78,POLY_KK
POLY-DIP-080,49.3,POLY_KK
POLY-DIP-081,46.95,POLY_KK
POLY-DIP-082,66.15,POLY_KK
POLY-CET-001,61.67,POLY_KK
POLY-CET-002,60.48,POLY_KK
POLY-CET-003,63.11,POLY_KK
KKOM-DIP-002,74.52,POLY_KK
KKOM-DIP-003,55.47,POLY_KK
KKOM-DIP-005,64.14,POLY_KK
KKOM-DIP-006,67.5,POLY_KK
KKOM-DIP-007,70.21,POLY_KK
KKOM-DIP-008,66.06,POLY_KK
KKOM-DIP-011,45.48,POLY_KK
KKOM-DIP-012,62.72,POLY_KK
KKOM-DIP-015,61.08,POLY_KK
KKOM-CET-001,71.74,POLY_KK
KKOM-CET-002,65.39,POLY_KK
KKOM-CET-003,63.71,POLY_KK
KKOM-CET-004,49.37,POLY_KK
KKOM-CET-005,48.82,POLY_KK
KKOM-CET-006,46.22,POLY_KK
KKOM-CET-007,54.13,POLY_KK
KKOM-CET-008,44.2,POLY_KK
KKOM-CET-009,57.35,POLY_KK
KKOM-CET-010,45.21,POLY_KK
KKOM-CET-011,49.52,POLY_KK
KKOM-CET-012,46.95,POLY_KK
KKOM-CET-013,55.94,POLY_KK
KKOM-CET-014,46.42,POLY_KK
KKOM-CET-015,43.38,POLY_KK
KKOM-CET-016,49.18,POLY_KK
KKOM-CET-017,40.1,POLY_KK
KKOM-CET-018,42.24,POLY_KK
KKOM-CET-019,50.91,POLY_KK
KKOM-CET-020,61.95,POLY_KK
KKOM-CET-021,42.7,POLY_KK
KKOM-CET-022,57.47,POLY_KK
KKOM-CET-023,50.01,POLY_KK
KKOM-CET-024,42.63,POLY_KK
KKOM-CET-025,41.62,POLY_KK
KKOM-CET-026,48.31,POLY_KK
KKOM-CET-027,46.05,POLY_KK
KKOM-CET-028,41.35,POLY_KK
KKOM-CET-029,40.83,POLY_KK
KKOM-CET-030,45.26,POLY_KK
KKOM-CET-031,43.34,POLY_KK
KKOM-CET-032,42.01,POLY_KK
KKOM-CET-033,43.09,POLY_KK
KKOM-CET-034,47.54,POLY_KK
KKOM-CET-035,42.74,POLY_KK
KKOM-CET-036,43.88,POLY_KK
KKOM-CET-037,50.41,POLY_KK
KKOM-CET-038,54.09,POLY_KK
