course_id,min_credits,req_malaysian,pass_bm,pass_history,pass_eng,pass_math,credit_math,credit_bm,credit_english,pass_stv,credit_stv,credit_sf,credit_sfmt,credit_bmbi,req_male,req_female,no_colorblind,no_disability
POLY-DIP-001,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-002,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-003,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-004,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-005,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-006,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-007,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-008,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-009,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-010,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-011,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-012,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-013,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-014,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-015,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-016,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-017,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-018,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-019,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-020,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-021,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-022,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-023,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-024,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-025,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-026,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-027,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-028,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-029,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-030,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-031,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-032,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-033,5,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1
POLY-DIP-034,5,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1
POLY-DIP-035,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-036,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-037,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-038,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-039,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-040,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-041,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-042,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-043,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-044,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-045,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-046,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-047,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-048,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-049,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-050,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-051,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-052,5,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
POLY-DIP-053,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-054,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-055,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-056,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
POLY-DIP-057,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-058,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-059,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
POLY-DIP-060,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-061,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-062,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-063,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-064,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-065,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
POLY-DIP-066,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-067,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-068,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-069,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-070,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-071,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-072,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-073,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-074,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-075,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-076,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-077,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
POLY-DIP-078,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-079,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
POLY-DIP-080,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-081,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POLY-DIP-082,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
POLY-CET-001,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
