institution_id,course_id,min_credits,min_pass,pass_bm,pass_history,pass_math_or_addmath,pass_science_tech,pass_math_sci,credit_math_sci_tech,credit_math_sci,credit_english,3m_only,no_colorblind,no_disability,req_academic
IKBN-004,IKBN-DIP-001,1,2,1,1,0,0,0,1,0,0,0,1,1,Credit Math/Science/Tech
IKBN-005,IKBN-DIP-001,1,2,1,1,0,0,0,1,0,0,0,1,1,Credit Math/Science/Tech
IKBN-020,IKBN-DIP-001,1,2,1,1,0,0,0,1,0,0,0,1,1,Credit Math/Science/Tech
IKBN-012,IKBN-DIP-002,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-010,IKBN-DIP-003,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-001,IKBN-DIP-006,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-012,IKBN-DIP-007,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-001,IKBN-CET-001,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-003,IKBN-CET-001,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-014,IKBN-CET-001,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-003,IKBN-CET-002,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-008,IKBN-CET-002,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-014,IKBN-CET-002,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-007,IKBN-CET-003,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-014,IKBN-CET-003,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-003,IKBN-CET-004,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-003,IKBN-CET-005,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-007,IKBN-CET-005,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-008,IKBN-CET-005,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-014,IKBN-CET-005,0,0,0,0,0,0,0,0,0,0,1,0,1,
IKBN-021,IKBN-CET-005,0,0,0,0,0,0,0,0,0,0,1,0,1,
