course_id,course,wbl,industry_demand,salary_range
UH0010003,ASASI AGRISAINS,0,0,
UY0000015,ASASI BAHASA ARAB,0,0,
UY0000001,ASASI BAHASA ARAB UNTUK KOMUNIKASI ANTARABANGSA,0,0,
UY0000016,ASASI BAHASA INGGERIS,0,0,
UY0000014,ASASI BAHASA INGGERIS UNTUK KOMUNIKASI ANTARABANGSA,0,0,
UY0000012,ASASI BAHASA MELAYU UNTUK KOMUNIKASI ANTARABANGSA,0,0,
UY0000011,ASASI EKONOMI & SAINS PENGURUSAN,0,0,
UY0000005,ASASI FARMASI,0,0,
UY0000006,ASASI ILMU PENGETAHUAN BERTERASKAN WAHYU DAN WARISAN ISLAM,0,0,
UY0000004,ASASI KEJURURAWATAN,0,0,
UE0520001,ASASI KEJURUTERAAN,0,0,
UY0520001,ASASI KEJURUTERAAN,0,0,
UZ0520001,ASASI KEJURUTERAAN DAN TEKNOLOGI,0,0,
UM0221002,ASASI PENGAJIAN ISLAM,0,0,
UM0221001,ASASI PENGAJIAN ISLAM DAN SAINS,0,0,
UW0010003,ASASI PENGKOMPUTERAN,0,0,
UZ0345001,ASASI PENGURUSAN DAN STRATEGI,0,0,
UY0000010,ASASI PENGURUSAN PELANCONGAN / FOUNDATION IN TOURISM MANAGEMENT,0,0,
UY0000019,ASASI PERGIGIAN,0,0,
UY0000018,ASASI PERUBATAN,0,0,
UZ0721001,ASASI PERUBATAN,0,0,
UD0010001,ASASI PERUBATAN DAN SAINS KESIHATAN,0,0,
UE0545001,ASASI SAINS,0,0,
UH0010001,ASASI SAINS,0,0,
UL0010001,ASASI SAINS,0,0,
UM0440001,ASASI SAINS FIZIKAL,0,0,
UW0010002,ASASI SAINS FIZIKAL,0,0,
UY0000002,ASASI SAINS FIZIKAL,0,0,
UM0421001,ASASI SAINS HAYAT,0,0,
UW0010001,ASASI SAINS HAYAT,0,0,
UY0000013,ASASI SAINS HAYAT,0,0,
UY0000017,ASASI SAINS KEMANUSIAAN,0,0,
UY0000003,ASASI SAINS KESIHATAN BERSEKUTU,0,0,
UY0481001,ASASI SAINS KOMPUTER,0,0,
UP0000001,ASASI SAINS PERTANIAN,0,0,
UH0010004,ASASI SAINS SOSIAL,0,0,
UL0010002,ASASI SAINS SOSIAL,0,0,
UM0010001,ASASI SAINS SOSIAL,0,0,
UD0010004,ASASI SAINS SOSIAL Baru,0,0,
UY0000009,ASASI SENI BINA DAN REKA BENTUK ALAM SEKITAR,0,0,
UG0010001,ASASI STEM,0,0,
UH0010002,ASASI TEKNOLOGI MAKLUMAT,0,0,
UL0481001,ASASI TEKNOLOGI MAKLUMAT HUFFAZ #,0,0,
UE0222001,ASASI TESL #,0,0,
UY0000007,ASASI UNDANG-UNDANG,0,0,
UE0380001,ASASI UNDANG-UNDANG (KPM),0,0,
UE0380002,ASASI UNDANG-UNDANG (UITM),0,0,
UK0010001,ASASIPINTAR UKM #,0,0,
UD4221001,DIPLOMA AL QURAN & AS SUNNAH,0,0,
UE4343004,DIPLOMA ANALISIS PELABURAN,0,0,
UE4213001,DIPLOMA ANIMASI #,0,0,
