course_id,merit_cutoff,min_credits,min_pass,pass_history,pass_bm,credit_bm,pass_eng,credit_english,credit_math,credit_addmath,pass_sci,credit_sci,pass_islam,credit_islam,pass_moral,credit_moral,credit_bm_b,credit_eng_b,credit_math_b,credit_addmath_b,distinction_bm,distinction_eng,distinction_math,distinction_addmath,distinction_bio,distinction_phy,distinction_chem,distinction_sci,credit_science_group,credit_math_or_addmath,req_malaysian,complex_requirements
UZ0520001,83.19,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 1, ""grade"": ""B"", ""subjects"": [""comp_sci"", ""phy""]}]}"
UM0221001,86.44,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 3, ""grade"": ""B"", ""subjects"": [""gkt"", ""keusahawanan"", ""lit_eng"", ""eng_draw"", ""lit_bm"", ""poa"", ""srt"", ""kelestarian"", ""comp_sci"", ""business"", ""pertanian"", ""geo"", ""bio"", ""ekonomi"", ""phy"", ""chem""]}]}"
UZ0345001,79.03,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"{""or_groups"": [{""count"": 1, ""grade"": ""B"", ""subjects"": [""geo"", ""hist""]}]}"
UZ0721001,92.15,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
UL0010001,77.78,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"{""or_groups"": [{""count"": 1, ""grade"": ""D"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""psv"", ""eng_draw"", ""addmath"", ""poa"", ""kelestarian"", ""eng"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""pertanian"", ""bio"", ""phy"", ""chem""]}]}"
UP0000001,89.34,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 4, ""grade"": ""B"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""eng_draw"", ""comp_sci"", ""math"", ""pertanian"", ""bio"", ""phy"", ""chem""]}]}"
UL0010002,80.83,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
UG0010001,78.72,5,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 2, ""grade"": ""C+"", ""subjects"": [""bio"", ""phy"", ""chem""]}, {""count"": 1, ""grade"": ""C+"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""keusahawanan"", ""psv"", ""lit_eng"", ""eng_draw"", ""lit_bm"", ""lit_tamil"", ""poa"", ""srt"", ""lit_cina"", ""kelestarian"", ""music"", ""comp_sci"", ""sports_sci"", ""business"", ""reka_cipta"", ""pertanian"", ""geo"", ""ekonomi""]}, {""count"": 1, ""grade"": ""C+"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""keusahawanan"", ""psv"", ""lit_eng"", ""eng_draw"", ""lit_bm"", ""lit_tamil"", ""poa"", ""srt"", ""lit_cina"", ""kelestarian"", ""music"", ""comp_sci"", ""sports_sci"", ""business"", ""reka_cipta"", ""pertanian"", ""geo"", ""ekonomi""]}]}"
UK0010001,94.99,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,
UA4222001,0.0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
UA4224001,70.41,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
UC4340001,0.0,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 3, ""grade"": ""C"", ""subjects"": [""psv"", ""multimedia"", ""addmath"", ""poa"", ""digital_gfx"", ""islam"", ""moral"", ""addsci"", ""comp_sci"", ""business"", ""reka_cipta"", ""geo"", ""hist"", ""bio"", ""ekonomi"", ""phy"", ""chem""]}]}"
UD4726001,83.28,5,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
UZ4813001,53.35,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
UR4851001,0.0,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 1, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""addmath"", ""kelestarian"", ""addsci"", ""reka_cipta"", ""bio"", ""phy"", ""chem""]}]}"
UB4526001,78.07,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 2, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""eng_draw"", ""addmath"", ""bio"", ""phy"", ""chem""]}, {""count"": 2, ""grade"": ""B"", ""subjects"": [""gkt"", ""kelestarian"", ""addsci"", ""comp_sci"", ""sports_sci"", ""reka_cipta"", ""pertanian""]}]}"
UJ4526001,72.71,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 2, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""pertanian"", ""bio"", ""phy"", ""chem""]}, {""count"": 3, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""pertanian"", ""bio"", ""phy"", ""chem""]}]}"
UR4521002,62.67,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 1, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""bio"", ""phy"", ""chem""]}]}"
UB4522001,77.73,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 2, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""eng_draw"", ""addmath"", ""bio"", ""phy"", ""chem""]}, {""count"": 2, ""grade"": ""B"", ""subjects"": [""gkt"", ""kelestarian"", ""addsci"", ""comp_sci"", ""sports_sci"", ""reka_cipta"", ""pertanian""]}]}"
UC4522001,75.09,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 2, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""bio"", ""phy"", ""chem""]}]}"
UR4522001,73.02,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 1, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""bio"", ""phy"", ""chem""]}]}"
UJ4523001,71.42,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 2, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""pertanian"", ""bio"", ""phy"", ""chem""]}, {""count"": 3, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""pertanian"", ""bio"", ""phy"", ""chem""]}]}"
UC4523001,74.83,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 2, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""addmath"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""bio"", ""phy"", ""chem""]}]}"
UR4523003,67.95,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"{""or_groups"": [{""count"": 1, ""grade"": ""C"", ""subjects"": [""eng_mech"", ""eng_elec"", ""eng_civil"", ""gkt"", ""eng_draw"", ""kelestarian"", ""addsci"", ""comp_sci"", ""reka_cipta"", ""bio"", ""phy"", ""chem""]}]}"
