| Course ID | Course Name | WBL Status |
| :--- | :--- | :--- |
| KKOM-DIP-001 | Diploma Dandanan Rambut | Yes |
| KKOM-DIP-004 | Diploma in Culinary Arts | Yes |
| KKOM-DIP-009 | Diploma in Mobile Technology | Yes |
| KKOM-DIP-010 | Diploma In Patisserie | Yes |
| KKOM-DIP-013 | Diploma in Telecommunication Technology | Yes |
| KKOM-DIP-014 | Diploma Teknologi Kenderaan Perdagangan | Yes |
| KKOM-DIP-016 | Diploma Terapi Kecantikan | Yes |
| KKOM-CET-002 | Certificate in Food & Beverage Service | No |
| KKOM-CET-022 | Sijil Seni Visual Kreatif | No |
