program_id,merit
UP6314001,99.43%
UP6762001,83.61%
UP6343001,99.99%
UP6321001,91.67%
UP6212001,77.51%
UP6145003,94.55%
UP6145002,94.38%
UP6145001,88.32%
UP6145004,89.88%
UP6145006,87.56%
UP6145005,90.22%
UP6345003,93.69%
UP6345007,91.44%
UP6345001,99.75%
UP6344001,100.00%
UP6214001,79.16%
UP6621003,65.93%
UP6312001,95.87%
UP6345004,97.47%
UP6345006,80.46%
UP6345005,93.37%
UP6345002,98.22%
UP6621005,94.05%
UP6581002,87.76%
UP6812001,87.52%
UP6224003,84.40%
UP6224001,95.39%
UP6222001,95.72%
UP6224004,93.77%
UP6223001,93.28%
UP6224002,79.19%
UP6224006,82.57%
UP6224005,82.37%
UP6581001,79.89%
UA6145026,84.85%
UA6145027,84.86%
UA6314002,95.11%
UA6314001,97.14%
UU6345001,95.60%
UH6443001,91.71%
UH6313001,84.58%
UH6347001,81.84%
UA6481001,92.44%
UJ6345003,90.10%
UD6762001,89.16%
UL6345002,77.09%
UL6345004,70.00%
UL6345001,66.08%
UL6340002,64.64%
UL6340001,75.50%
UA6321001,77.20%
UH6321001,82.56%
UH6342002,71.49%
UA6145003,94.20%
UA6145031,79.51%
UA6145002,91.68%
UA6145005,86.77%
UA6145014,95.70%
UA6145020,92.49%
UA6145001,88.19%
UA6145023,82.08%
UA6145017,78.55%
UA6143001,89.42%
UA6145021,86.19%
UD6146001,89.34%
UA6145030,89.45%
UA6145008,88.81%
UA6145022,88.33%
UA6145004,84.99%
UA6145016,97.27%
UA6145006,99.09%
UA6146001,80.58%
UA6145007,85.83%
UA6141001,86.83%
UA6145019,92.75%
UA6145018,83.32%
UA6145015,89.93%
UH6145002,82.11%
UH6145006,86.79%
UA6145029,91.37%
UL6225001,74.06%
UU6812002,81.59%
UU6210001,69.77%
UJ6345001,72.34%
UC6345003,69.21%
UC6345004,73.67%
UJ6345002,70.40%
UA6345002,85.78%
UA6345001,89.85%
UL6340003,71.42%
UA6344001,99.98%
UH6343002,74.73%
UA6213003,81.31%
UA6213002,71.30%
UA6213001,73.57%
UU6461001,86.72%
UU6213003,81.23%
UU6462001,74.41%
UU6481001,93.90%
UL6621001,69.10%
UL6443001,75.85%
UL6541001,68.94%
UL6850001,73.19%
UC6481005,92.25%
UC6481006,92.52%
UC6481003,75.80%
UC6481001,92.87%
UC6481004,92.95%
UC6481002,80.54%
UL6581002,78.95%
UW6313002,82.33%
UA6813001,85.36%
UA6813002,84.23%
UH6225001,91.15%
UH6212001,69.36%
UA6212002,69.59%
UA6212001,71.01%
UL6214001,73.28%
UH6212003,Tiada
UL6213001,74.20%
UC6481007,78.89%
UH6210001,81.49%
UC6345002,66.77%
UD6380001,91.03%
UD6545001,70.56%
UD6621002,76.77%
UM6221008,85.50%
UD6221005,87.21%
UJ6345004,79.51%
UE6310001,83.14%
UE6310002,81.97%
UW6213002,81.73%
