program_id,program_name,university,stream,min_cgpa,stpm_min_subjects,stpm_min_grade,stpm_req_pa,stpm_req_math_t,stpm_req_math_m,stpm_req_physics,stpm_req_chemistry,stpm_req_biology,stpm_req_economics,stpm_req_accounting,stpm_req_business,stpm_subject_group,spm_credit_bm,spm_pass_sejarah,spm_credit_bi,spm_pass_bi,spm_credit_math,spm_pass_math,spm_credit_addmath,spm_credit_science,spm_subject_group,min_muet_band,req_interview,no_colorblind,req_medical_fitness,req_malaysian,req_bumiputera,syarat_am_standard,source_cgpa,source_muet,source_stpm_subjects,source_spm_subjects,source_interview,parse_confidence,notes
UP6314001,BACELOR EKONOMI DENGAN KEPUJIAN,Universiti Putra Malaysia,both,2.0,2,C,1,0,0,0,0,0,0,0,0,"{""min_count"": 1, ""min_grade"": ""C+"", ""subjects"": [""MATH_T"", ""ECONOMICS"", ""GEOGRAPHY"", ""ACCOUNTING"", ""BUSINESS"", ""PHYSICS"", ""PA""]}",1,1,1,0,1,0,1,0,"{""min_count"": 1, ""min_grade"": ""C+"", ""subjects"": [""MATH"", ""ECONOMICS_SPM"", ""GEOGRAPHY_SPM"", ""ACCOUNTING_SPM"", ""COMMERCE"", ""BI""]}",2.0,0,0,0,1,0,1,am,khas,khas,khas,,1.0,
UP6762001,BACELOR KAUNSELING DENGAN KEPUJIAN #,Universiti Putra Malaysia,both,2.5,2,C,1,0,0,0,0,0,0,0,0,"{""min_count"": 1, ""min_grade"": ""D"", ""subjects"": [""MATH_T"", ""PHYSICS"", ""BIOLOGY"", ""CHEMISTRY"", ""ACCOUNTING"", ""BUSINESS"", ""PA""]}",1,1,1,0,0,0,0,1,"{""min_count"": 1, ""min_grade"": ""D"", ""subjects"": [""MATH"", ""PHYSICS_SPM"", ""BI"", ""CHEMISTRY_SPM"", ""SCIENCE"", ""ACCOUNTING_SPM"", ""COMMERCE""]}",2.0,1,0,0,1,0,1,khas,khas,khas,khas,khas,1.0,
UP6343001,BACELOR KEWANGAN GUNAAN DENGAN KEPUJIAN,Universiti Putra Malaysia,both,2.0,2,C+,1,0,0,0,0,0,0,0,0,"{""min_count"": 2, ""min_grade"": ""C+"", ""subjects"": [""MATH_T"", ""ECONOMICS"", ""GEOGRAPHY"", ""ACCOUNTING"", ""BUSINESS"", ""PHYSICS"", ""PA""]}",1,1,1,0,1,0,1,0,"{""min_count"": 2, ""min_grade"": ""C+"", ""subjects"": [""MATH"", ""ECONOMICS_SPM"", ""GEOGRAPHY_SPM"", ""ACCOUNTING_SPM"", ""COMMERCE"", ""BI""]}",2.0,0,0,0,1,0,1,am,khas,khas,khas,,1.0,
UP6321001,BACELOR KOMUNIKASI DENGAN KEPUJIAN,Universiti Putra Malaysia,arts,2.0,2,C,1,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,,3.0,0,0,0,1,0,1,am,khas,am,khas,,1.0,
UP6212001,BACELOR MUZIK DENGAN KEPUJIAN #,Universiti Putra Malaysia,both,2.0,2,C,1,0,0,0,0,0,0,0,0,"{""min_count"": 2, ""min_grade"": ""C"", ""subjects"": [""PA""]}",1,1,1,0,0,0,0,0,,2.0,1,0,0,1,0,1,am,khas,khas,khas,khas,1.0,
UP6145003,BACELOR PENDIDIKAN BAHASA MELAYU DENGAN KEPUJIAN #,Universiti Putra Malaysia,arts,3.0,2,B,1,0,0,0,0,0,0,0,0,"{""min_count"": 2, ""min_grade"": ""B"", ""subjects"": [""LITERATURE_MY"", ""ARABIC"", ""USULUDDIN"", ""ECONOMICS"", ""ACCOUNTING"", ""HISTORY"", ""BUSINESS"", ""PA""]}",1,1,1,0,0,0,0,0,"{""min_count"": 2, ""min_grade"": ""B"", ""subjects"": [""ECONOMICS_SPM"", ""ACCOUNTING_SPM"", ""SEJARAH"", ""COMMERCE""]}",2.0,1,0,0,1,0,1,khas,khas,khas,khas,khas,1.0,
UP6145002,BACELOR PENDIDIKAN BIMBINGAN DAN KAUNSELING DENGAN KEPUJIAN #,Universiti Putra Malaysia,both,2.75,2,C,1,0,0,0,0,0,0,0,0,"{""min_count"": 1, ""min_grade"": ""D"", ""subjects"": [""MATH_T"", ""PHYSICS"", ""BIOLOGY"", ""CHEMISTRY"", ""ACCOUNTING"", ""BUSINESS"", ""PA""]}",1,1,1,0,0,0,0,1,"{""min_count"": 1, ""min_grade"": ""D"", ""subjects"": [""MATH"", ""PHYSICS_SPM"", ""BI"", ""CHEMISTRY_SPM"", ""SCIENCE"", ""ACCOUNTING_SPM"", ""COMMERCE""]}",2.0,1,0,0,1,0,1,khas,khas,khas,khas,khas,1.0,
UP6145001,BACELOR PENDIDIKAN DALAM PENDIDIKAN JASMANI DENGAN KEPUJIAN #,Universiti Putra Malaysia,science,2.75,2,C,1,0,0,0,0,0,0,0,0,"{""min_count"": 1, ""min_grade"": ""D"", ""subjects"": [""PHYSICS"", ""BIOLOGY"", ""CHEMISTRY"", ""PA""]}",1,1,1,0,1,0,1,1,"{""min_count"": 1, ""min_grade"": ""D"", ""subjects"": [""PHYSICS_SPM"", ""BI"", ""CHEMISTRY_SPM"", ""SCIENCE""]}",2.0,1,0,0,1,0,1,khas,khas,khas,khas,khas,1.0,
UP6145004,BACELOR PENDIDIKAN PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA DENGAN KEPUJIAN #,Universiti Putra Malaysia,arts,3.0,2,C,1,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,,4.0,1,0,0,1,0,1,khas,khas,am,khas,khas,1.0,
UP6145006,BACELOR PENDIDIKAN SAINS PERTANIAN DENGAN KEPUJIAN #,Universiti Putra Malaysia,science,2.5,2,C,1,0,0,0,0,0,0,0,0,"{""min_count"": 2, ""min_grade"": ""C"", ""subjects"": [""PHYSICS"", ""BIOLOGY"", ""CHEMISTRY"", ""PA""]}",1,1,1,0,0,0,0,1,"{""min_count"": 2, ""min_grade"": ""C"", ""subjects"": [""SCIENCE"", ""PHYSICS_SPM"", ""BI"", ""CHEMISTRY_SPM""]}",2.0,1,0,0,1,0,1,khas,khas,khas,khas,khas,1.0,
UP6145005,BACELOR PENDIDIKAN SAINS RUMAH TANGGA DENGAN KEPUJIAN #,Universiti Putra Malaysia,science,2.5,2,C,1,0,0,0,0,0,0,0,0,"{""min_count"": 2, ""min_grade"": ""C"", ""subjects"": [""PHYSICS"", ""BIOLOGY"", ""CHEMISTRY"", ""PA""]}",1,1,1,0,1,0,1,1,"{""min_count"": 2, ""min_grade"": ""C"", ""subjects"": [""PHYSICS_SPM"", ""BI"", ""CHEMISTRY_SPM"", ""SCIENCE""]}",2.0,1,0,0,1,0,1,khas,khas,khas,khas,khas,1.0,
UP6345003,BACELOR PENGAJIAN PENGGUNA DENGAN KEPUJIAN,Universiti Putra Malaysia,both,2.0,2,C,1,0,0,0,0,0,0,0,0,"{""min_count"": 2, ""min_grade"": ""C"", ""subjects"": [""BIOLOGY"", ""CHEMISTRY"", ""PHYSICS"", ""MATH_T"", ""ECONOMICS"", ""ACCOUNTING"", ""GEOGRAPHY"", ""HISTORY"", ""BUSINESS"", ""USULUDDIN"", ""SYARIAH"", ""PA""]}",1,1,1,0,1,0,1,0,"{""min_count"": 2, ""min_grade"": ""C"", ""subjects"": [""BI"", ""CHEMISTRY_SPM"", ""PHYSICS_SPM"", ""MATH"", ""ECONOMICS_SPM"", ""ACCOUNTING_SPM"", ""GEOGRAPHY_SPM"", ""SEJARAH"", ""COMMERCE"", ""SCIENCE""]}",2.0,0,0,0,1,0,1,am,khas,khas,khas,,1.0,
UP6345007,BACELOR PENGURUSAN ALAM SEKITAR DENGAN KEPUJIAN,Universiti Putra Malaysia,both,2.0,2,C+,1,0,0,0,0,0,0,0,0,"{""min_count"": 2, ""min_grade"": ""C+"", ""subjects"": [""BIOLOGY"", ""ECONOMICS"", ""PHYSICS"", ""GEOGRAPHY"", ""CHEMISTRY"", ""MATH_T"", ""BUSINESS"", ""ACCOUNTING"", ""HISTORY"", ""PA""]}",1,1,1,0,1,0,1,0,"{""min_count"": 2, ""min_grade"": ""C+"", ""subjects"": [""BI"", ""ECONOMICS_SPM"", ""PHYSICS_SPM"", ""GEOGRAPHY_SPM"", ""CHEMISTRY_SPM"", ""MATH"", ""COMMERCE"", ""ACCOUNTING_SPM"", ""SEJARAH""]}",2.0,0,0,0,1,0,1,am,khas,khas,khas,,1.0,
