program_id,merit
UP6314001,99.43%
UP6762001,83.61%
UP6723001,90.46%
UP6525001,98.06%
UP6526001,96.81%
UP6523001,100.00%
UP6524001,99.91%
UP6521001,99.52%
UP6481003,100.00%
UP6524002,88.43%
UP6541004,93.07%
UP6523002,98.06%
UP6343001,99.99%
UP6321001,91.67%
UP6212001,77.51%
UP6145002,94.38%
UP6145001,88.32%
UP6145004,89.88%
UP6145006,87.56%
UP6145005,90.22%
UP6345003,93.69%
UP6345007,91.44%
UP6345001,99.75%
UP6344001,100.00%
UP6214001,79.16%
UP6624001,78.56%
UP6624002,67.85%
UP6621003,65.93%
UP6421003,98.18%
UP6421002,96.15%
UP6142001,95.29%
UP6421005,93.27%
UP6421001,100.00%
UP6545001,98.80%
UP6422001,85.24%
UP6541001,99.43%
UP6726001,91.46%
UP6440001,89.38%
UP6441001,97.37%
UP6142002,96.81%
UP6440002,91.65%
UP6621004,99.09%
UP6622001,76.14%
UP6623003,63.89%
UP6442001,98.19%
UP6142003,97.68%
UP6442002,97.96%
UP6442004,82.08%
UP6442003,97.14%
UP6481002,98.80%
UP6481004,99.81%
UP6481001,100.00%
UP6461001,98.73%
UP6142004,98.06%
UP6421004,98.10%
UP6541005,90.92%
UP6726002,97.86%
UP6312001,95.87%
UP6345004,97.47%
UP6345006,80.46%
UP6345005,93.37%
UP6345002,98.22%
UP6541003,77.13%
UP6621002,86.27%
UP6623001,78.76%
UP6621005,94.05%
UP6621001,94.14%
UP6581002,87.76%
UP6462001,99.31%
UP6812001,87.52%
UP6224001,95.39%
UP6224004,93.77%
UP6581001,79.89%
UP6620001,96.25%
UZ6481004,94.47%
UK6724001,98.27%
US6724001,99.73%
UW6721001,98.41%
UK6721001,99.27%
UP6721001,99.70%
US6721001,98.79%
UL6640001,96.51%
UP6640001,99.58%
UH6721001,98.73%
UJ6523002,82.77%
UA6145027,84.86%
UZ6721001,97.81%
UU6345001,95.60%
UK6723001,93.77%
UH6526001,93.11%
UZ6526001,87.59%
UH6523001,86.29%
UC6522001,88.91%
UC6523003,80.96%
UH6524001,93.97%
UH6521001,88.75%
UZ6521001,90.23%
UC6521001,85.91%
UC6523002,82.54%
UH6524002,97.63%
UC6540001,79.11%
UA6481001,92.44%
UJ6345003,90.10%
UD6762001,89.16%
UL6345002,77.09%
UL6345004,70.00%
UL6345001,66.08%
UL6340002,64.64%
UL6340001,75.50%
UA6321001,77.20%
UQ6724001,97.44%
UA6145031,79.51%
UA6145002,91.68%
UA6145009,92.61%
UA6145005,86.77%
UA6145010,94.08%
UA6145020,92.49%
UA6145011,94.10%
UA6145012,95.37%
UA6145023,82.08%
UA6145017,78.55%
UA6143001,89.42%
UA6145030,89.45%
UA6145008,88.81%
UA6145004,84.99%
UA6146001,80.58%
UA6145007,85.83%
UA6141001,86.83%
UA6145013,92.18%
UA6145018,83.32%
UA6145015,89.93%
UH6145002,82.11%
