--- MOHE ORPHANS REPORT ---
Courses present in MOHE data but NOT found in HalaTuju.

[UA PROGRAMS] Orphans: 221
          code                                                        program_name                                     university
0    UH0010003                                                     ASASI AGRISAINS                      Universiti Malaysia Sabah
1    UY0000015                                                   ASASI BAHASA ARAB         Universiti Islam Antarabangsa Malaysia
2    UY0000001                     ASASI BAHASA ARAB UNTUK KOMUNIKASI ANTARABANGSA         Universiti Islam Antarabangsa Malaysia
3    UY0000016                                               ASASI BAHASA INGGERIS         Universiti Islam Antarabangsa Malaysia
4    UY0000014                 ASASI BAHASA INGGERIS UNTUK KOMUNIKASI ANTARABANGSA         Universiti Islam Antarabangsa Malaysia
5    UY0000012                   ASASI BAHASA MELAYU UNTUK KOMUNIKASI ANTARABANGSA         Universiti Islam Antarabangsa Malaysia
6    UY0000011                                    ASASI EKONOMI & SAINS PENGURUSAN         Universiti Islam Antarabangsa Malaysia
7    UY0000005                                                       ASASI FARMASI         Universiti Islam Antarabangsa Malaysia
8    UY0000006          ASASI ILMU PENGETAHUAN BERTERASKAN WAHYU DAN WARISAN ISLAM         Universiti Islam Antarabangsa Malaysia
9    UY0000004                                                 ASASI KEJURURAWATAN         Universiti Islam Antarabangsa Malaysia
10   UE0520001                                                  ASASI KEJURUTERAAN                      Universiti Teknologi Mara
11   UY0520001                                                  ASASI KEJURUTERAAN         Universiti Islam Antarabangsa Malaysia
14   UZ0520001                                    ASASI KEJURUTERAAN DAN TEKNOLOGI        Universiti Pertahanan Nasional Malaysia
15   UM0221002                                               ASASI PENGAJIAN ISLAM                              Universiti Malaya
16   UM0221001                                     ASASI PENGAJIAN ISLAM DAN SAINS                              Universiti Malaya
17   UW0010003                                                ASASI PENGKOMPUTERAN                    Universiti Malaysia Sarawak
18   UZ0345001                                       ASASI PENGURUSAN DAN STRATEGI        Universiti Pertahanan Nasional Malaysia
19   UY0000010     ASASI PENGURUSAN PELANCONGAN / FOUNDATION IN TOURISM MANAGEMENT         Universiti Islam Antarabangsa Malaysia
20   UY0000019                                                     ASASI PERGIGIAN         Universiti Islam Antarabangsa Malaysia
21   UY0000018                                                     ASASI PERUBATAN         Universiti Islam Antarabangsa Malaysia
22   UZ0721001                                                     ASASI PERUBATAN        Universiti Pertahanan Nasional Malaysia
23   UD0010001                                 ASASI PERUBATAN DAN SAINS KESIHATAN                Universiti Sultan Zainal Abidin
24   UE0545001                                                         ASASI SAINS                      Universiti Teknologi Mara
25   UH0010001                                                         ASASI SAINS                      Universiti Malaysia Sabah
26   UL0010001                                                         ASASI SAINS                   Universiti Malaysia Kelantan
27   UM0440001                                                 ASASI SAINS FIZIKAL                              Universiti Malaya
28   UW0010002                                                 ASASI SAINS FIZIKAL                    Universiti Malaysia Sarawak
29   UY0000002                                                 ASASI SAINS FIZIKAL         Universiti Islam Antarabangsa Malaysia
30   UM0421001                                                   ASASI SAINS HAYAT                              Universiti Malaya
31   UW0010001                                                   ASASI SAINS HAYAT                    Universiti Malaysia Sarawak
32   UY0000013                                                   ASASI SAINS HAYAT         Universiti Islam Antarabangsa Malaysia
33   UY0000017                                             ASASI SAINS KEMANUSIAAN         Universiti Islam Antarabangsa Malaysia
34   UY0000003                                     ASASI SAINS KESIHATAN BERSEKUTU         Universiti Islam Antarabangsa Malaysia
35   UY0481001                                                ASASI SAINS KOMPUTER         Universiti Islam Antarabangsa Malaysia
36   UP0000001                                               ASASI SAINS PERTANIAN                      Universiti Putra Malaysia
37   UH0010004                                                  ASASI SAINS SOSIAL                      Universiti Malaysia Sabah
38   UL0010002                                                  ASASI SAINS SOSIAL                   Universiti Malaysia Kelantan
39   UM0010001                                                  ASASI SAINS SOSIAL                              Universiti Malaya
40   UD0010004                                             ASASI SAINS SOSIAL Baru                Universiti Sultan Zainal Abidin
41   UY0000009                        ASASI SENI BINA DAN REKA BENTUK ALAM SEKITAR         Universiti Islam Antarabangsa Malaysia
42   UG0010001                                                          ASASI STEM                 Universiti Malaysia Terengganu
44   UH0010002                                            ASASI TEKNOLOGI MAKLUMAT                      Universiti Malaysia Sabah
45   UL0481001                                   ASASI TEKNOLOGI MAKLUMAT HUFFAZ #                   Universiti Malaysia Kelantan
46   UE0222001                                                        ASASI TESL #                      Universiti Teknologi Mara
47   UY0000007                                                 ASASI UNDANG-UNDANG         Universiti Islam Antarabangsa Malaysia
48   UE0380001                                           ASASI UNDANG-UNDANG (KPM)                      Universiti Teknologi Mara
49   UE0380002                                          ASASI UNDANG-UNDANG (UITM)                      Universiti Teknologi Mara
50   UK0010001                                                   ASASIPINTAR UKM #                 Universiti Kebangsaan Malaysia
55   UD4221001                                        DIPLOMA AL QURAN & AS SUNNAH                Universiti Sultan Zainal Abidin
56   UE4343004                                          DIPLOMA ANALISIS PELABURAN                      Universiti Teknologi Mara
57   UE4213001                                                   DIPLOMA ANIMASI #                      Universiti Teknologi Mara
58   UD4224001                                 DIPLOMA BAHASA & KESUSASTERAAN ARAB                Universiti Sultan Zainal Abidin
59   UA4222001                                         DIPLOMA BAHASA ETNIK Baru #             Universiti Pendidikan Sultan Idris
60   UA4224001                                           DIPLOMA BAHASA INGGERIS #             Universiti Pendidikan Sultan Idris
61   UE4224001                    DIPLOMA BAHASA INGGERIS KOMUNIKASI PROFESIONAL #                      Universiti Teknologi Mara
63   UD4221005                                                      DIPLOMA DAKWAH                Universiti Sultan Zainal Abidin
64   UC4340001                                             DIPLOMA E-COMMERCE Baru            Universiti Teknikal Malaysia Melaka
65   UE4727001                                                     DIPLOMA FARMASI                      Universiti Teknologi Mara
66   UD4726001                                                 DIPLOMA FISIOTERAPI                Universiti Sultan Zainal Abidin
67   UE4726002                                                 DIPLOMA FISIOTERAPI                      Universiti Teknologi Mara
68   UE4213004                                    DIPLOMA FOTOMEDIA KREATIF Baru #                      Universiti Teknologi Mara
92   UE4322003                                     DIPLOMA INFORMATIK PERPUSTAKAAN                      Universiti Teknologi Mara
94   UZ4813001                                     DIPLOMA KECERGASAN PERTAHANAN #        Universiti Pertahanan Nasional Malaysia
95   UE4723001                                               DIPLOMA KEJURURAWATAN                      Universiti Teknologi Mara
97   UR4851001                              DIPLOMA KEJURUTERAAN ALAM SEKITAR Baru                     Universiti Malaysia Perlis
99   UB4526001                                           DIPLOMA KEJURUTERAAN AWAM            Universiti Tun Hussein Onn Malaysia
100  UE4526003                                           DIPLOMA KEJURUTERAAN AWAM                      Universiti Teknologi Mara
101  UJ4526001                                           DIPLOMA KEJURUTERAAN AWAM  Universiti Malaysia Pahang Al-Sultan Abdullah
102  UR4521002                                          DIPLOMA KEJURUTERAAN BAHAN                     Universiti Malaysia Perlis
104  UB4522001                                       DIPLOMA KEJURUTERAAN ELEKTRIK            Universiti Tun Hussein Onn Malaysia
105  UC4522001                                       DIPLOMA KEJURUTERAAN ELEKTRIK            Universiti Teknikal Malaysia Melaka
106  UR4522001                                       DIPLOMA KEJURUTERAAN ELEKTRIK                     Universiti Malaysia Perlis
109  UE4523001                          DIPLOMA KEJURUTERAAN ELEKTRIK (ELEKTRONIK)                      Universiti Teknologi Mara
111  UE4522002                               DIPLOMA KEJURUTERAAN ELEKTRIK (KUASA)                      Universiti Teknologi Mara
113  UJ4523001                        DIPLOMA KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK  Universiti Malaysia Pahang Al-Sultan Abdullah
115  UC4523001                                     DIPLOMA KEJURUTERAAN ELEKTRONIK            Universiti Teknikal Malaysia Melaka
116  UR4523003                                     DIPLOMA KEJURUTERAAN ELEKTRONIK                     Universiti Malaysia Perlis
122  UE4524001                                          DIPLOMA KEJURUTERAAN KIMIA                      Universiti Teknologi Mara
123  UJ4524001                                          DIPLOMA KEJURUTERAAN KIMIA  Universiti Malaysia Pahang Al-Sultan Abdullah
124  UH4520001                         DIPLOMA KEJURUTERAAN KIMIA (MINYAK DAN GAS)                      Universiti Malaysia Sabah
125  UR4523002                                       DIPLOMA KEJURUTERAAN KOMPUTER                     Universiti Malaysia Perlis
127  UB4521002                                      DIPLOMA KEJURUTERAAN MEKANIKAL            Universiti Tun Hussein Onn Malaysia
128  UC4521001                                      DIPLOMA KEJURUTERAAN MEKANIKAL            Universiti Teknikal Malaysia Melaka
129  UE4521001                                      DIPLOMA KEJURUTERAAN MEKANIKAL                      Universiti Teknologi Mara
130  UJ4521001                                      DIPLOMA KEJURUTERAAN MEKANIKAL  Universiti Malaysia Pahang Al-Sultan Abdullah
144  UR4523001                                     DIPLOMA KEJURUTERAAN MEKATRONIK                     Universiti Malaysia Perlis
145  UC4540001                                      DIPLOMA KEJURUTERAAN PEMBUATAN            Universiti Teknikal Malaysia Melaka
146  UR4540001                                      DIPLOMA KEJURUTERAAN PEMBUATAN                     Universiti Malaysia Perlis
151  UP4524001  DIPLOMA KEJURUTERAAN TEKNOLOGI PERTANIAN (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
152  UJ4862001                         DIPLOMA KESELAMATAN DAN KESIHATAN PEKERJAAN  Universiti Malaysia Pahang Al-Sultan Abdullah
153  UP4640001   DIPLOMA KESIHATAN HAIWAN DAN PETERNAKAN (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
